step,reward,TD_Loss,Final Loss
7679,0.08167538791894913,0.014834198169410229,0.014834198169410229
41461,0.10192428529262543,0.10192428529262543,0.010375160723924637,0.010375160723924637
42004,0.10288602858781815,0.10288602858781815,0.009805730544030666,0.009805730544030666
73496,0.12486153841018677,0.12486153841018677,0.01320028305053711,0.01320028305053711
75376,0.12171769887208939,0.12171769887208939,0.010297455824911594,0.010297455824911594
93305,0.13174639642238617,0.13174639642238617,0.009949753060936928,0.009949753060936928
109953,0.1412363499403,0.1412363499403,0.01063727866858244,0.01063727866858244
120949,0.15237034857273102,0.15237034857273102,0.011087398044764996,0.011087398044764996
126326,0.1440400779247284,0.1440400779247284,0.011857087723910809,0.011857087723910809
132177,0.15612244606018066,0.15612244606018066,0.010591421276330948,0.010591421276330948
139070,0.1548462212085724,0.1548462212085724,0.01115699578076601,0.01115699578076601
142681,0.15386733412742615,0.15386733412742615,0.014831969514489174,0.014831969514489174
144896,0.1598777025938034,0.1598777025938034,0.013287665322422981,0.013287665322422981
224209,0.17232416570186615,0.17232416570186615,0.01612241007387638,0.01612241007387638
240079,0.1984342634677887,0.1984342634677887,0.01902492716908455,0.01902492716908455
240605,0.1844944804906845,0.1844944804906845,0.016507724300026894,0.016507724300026894
249712,0.19032765924930573,0.19032765924930573,0.01721668429672718,0.01721668429672718
290852,0.20709721744060516,0.20709721744060516,0.018441880121827126,0.018441880121827126
302294,0.2044173926115036,0.2044173926115036,0.023728465661406517,0.023728465661406517
365748,0.21885941922664642,0.21885941922664642,0.02065449208021164,0.02065449208021164
369413,0.2254256159067154,0.2254256159067154,0.021485527977347374,0.021485527977347374
373838,0.21775339543819427,0.21775339543819427,0.020595543086528778,0.020595543086528778
388783,0.214496448636055,0.214496448636055,0.021610306575894356,0.021610306575894356
437738,0.21225598454475403,0.21225598454475403,0.024882178753614426,0.024882178753614426
473462,0.20714737474918365,0.20714737474918365,0.022326139733195305,0.022326139733195305
598396,0.1830815076828003,0.1830815076828003,0.024472130462527275,0.024472130462527275
599587,0.18393561244010925,0.18393561244010925,0.021765505895018578,0.021765505895018578
661297,0.17386862635612488,0.17386862635612488,0.023653097450733185,0.023653097450733185
666157,0.17401756346225739,0.17401756346225739,0.023517390713095665,0.023517390713095665
670876,0.17468008399009705,0.17468008399009705,0.023308418691158295,0.023308418691158295
799284,0.16021259129047394,0.16021259129047394,0.027727888897061348,0.027727888897061348
813719,0.16838771104812622,0.16838771104812622,0.029046671465039253,0.029046671465039253
833112,0.16484299302101135,0.16484299302101135,0.02636680193245411,0.02636680193245411
858151,0.15902236104011536,0.15902236104011536,0.02421167679131031,0.02421167679131031
868320,0.1580192893743515,0.1580192893743515,0.02708173356950283,0.02708173356950283
883214,0.16783899068832397,0.16783899068832397,0.028330720961093903,0.028330720961093903
971276,0.15481522679328918,0.15481522679328918,0.02170279435813427,0.02170279435813427
1075922,0.14742742478847504,0.14742742478847504,0.025703879073262215,0.025703879073262215
1115554,0.1482713520526886,0.1482713520526886,0.024793026968836784,0.024793026968836784
1128760,0.149480402469635,0.149480402469635,0.024612756446003914,0.024612756446003914
1200975,0.15287531912326813,0.15287531912326813,0.025178438052535057,0.025178438052535057
1222292,0.1548553705215454,0.1548553705215454,0.028864342719316483,0.028864342719316483
1253007,0.15493379533290863,0.15493379533290863,0.024902312085032463,0.024902312085032463
1280786,0.14733640849590302,0.14733640849590302,0.024107590317726135,0.024107590317726135
1292959,0.14744353294372559,0.14744353294372559,0.02545572817325592,0.02545572817325592
1299376,0.1452578753232956,0.1452578753232956,0.027184123173356056,0.027184123173356056
1309533,0.14773787558078766,0.14773787558078766,0.026671621948480606,0.026671621948480606
1341051,0.15555541217327118,0.15555541217327118,0.030003579333424568,0.030003579333424568
1349382,0.14909152686595917,0.14909152686595917,0.026773124933242798,0.026773124933242798
1416492,0.1481476128101349,0.1481476128101349,0.02183268964290619,0.02183268964290619
1417604,0.14145547151565552,0.14145547151565552,0.021417286247015,0.021417286247015
1471617,0.14445579051971436,0.14445579051971436,0.02241581864655018,0.02241581864655018
1486945,0.13804151117801666,0.13804151117801666,0.023713089525699615,0.023713089525699615
1516865,0.13998837769031525,0.13998837769031525,0.02199699729681015,0.02199699729681015
1524500,0.1393754780292511,0.1393754780292511,0.02433844283223152,0.02433844283223152
1525680,0.14173755049705505,0.14173755049705505,0.023945564404129982,0.023945564404129982
1608608,0.1393563151359558,0.1393563151359558,0.028093701228499413,0.028093701228499413
1637746,0.14708766341209412,0.14708766341209412,0.0260466281324625,0.0260466281324625
1642518,0.1399194896221161,0.1399194896221161,0.021790072321891785,0.021790072321891785
1695807,0.1450268030166626,0.1450268030166626,0.02693934179842472,0.02693934179842472
1738124,0.14574556052684784,0.14574556052684784,0.024297336116433144,0.024297336116433144
1769894,0.1386202722787857,0.1386202722787857,0.025637304410338402,0.025637304410338402
1776299,0.13980801403522491,0.13980801403522491,0.023449471220374107,0.023449471220374107
1849681,0.13680392503738403,0.13680392503738403,0.02335917390882969,0.02335917390882969
1867058,0.13743606209754944,0.13743606209754944,0.02313525229692459,0.02313525229692459
1942472,0.13815100491046906,0.13815100491046906,0.02687542885541916,0.02687542885541916
2019820,0.13510775566101074,0.13510775566101074,0.027771977707743645,0.027771977707743645
2130508,0.13849717378616333,0.13849717378616333,0.026102682575583458,0.026102682575583458
2183764,0.14386650919914246,0.14386650919914246,0.031170427799224854,0.031170427799224854
2254815,0.13593690097332,0.13593690097332,0.026941243559122086,0.026941243559122086
2311134,0.1439174860715866,0.1439174860715866,0.03457415848970413,0.03457415848970413
2330101,0.14112825691699982,0.14112825691699982,0.032265592366456985,0.032265592366456985
2395323,0.14027634263038635,0.14027634263038635,0.03668363392353058,0.03668363392353058
2404476,0.13819724321365356,0.13819724321365356,0.032447699457407,0.032447699457407
2440957,0.1352664828300476,0.1352664828300476,0.02749049663543701,0.02749049663543701
2450792,0.13670022785663605,0.13670022785663605,0.03232955187559128,0.03232955187559128
2590239,0.13494405150413513,0.13494405150413513,0.03411487489938736,0.03411487489938736
2607834,0.13824139535427094,0.13824139535427094,0.03339305520057678,0.03339305520057678
2638654,0.13219816982746124,0.13219816982746124,0.03215284273028374,0.03215284273028374
2675835,0.13987259566783905,0.13987259566783905,0.034785233438014984,0.034785233438014984
2681672,0.14100977778434753,0.14100977778434753,0.031844452023506165,0.031844452023506165
2694300,0.14129649102687836,0.14129649102687836,0.03483635559678078,0.03483635559678078
2734915,0.1333182454109192,0.1333182454109192,0.0338737927377224,0.0338737927377224
2793028,0.14021210372447968,0.14021210372447968,0.0345994308590889,0.0345994308590889
2805437,0.14123263955116272,0.14123263955116272,0.040337320417165756,0.040337320417165756
2854281,0.14511385560035706,0.14511385560035706,0.03314283862709999,0.03314283862709999
2992414,0.13561022281646729,0.13561022281646729,0.03139501437544823,0.03139501437544823
3054083,0.14357227087020874,0.14357227087020874,0.03381840139627457,0.03381840139627457
3146279,0.14580287039279938,0.14580287039279938,0.036268994212150574,0.036268994212150574
3164401,0.13965852558612823,0.13965852558612823,0.03932281956076622,0.03932281956076622
3188588,0.1405632644891739,0.1405632644891739,0.03667537495493889,0.03667537495493889
3206551,0.13945390284061432,0.13945390284061432,0.03664413467049599,0.03664413467049599
3234400,0.1341899037361145,0.1341899037361145,0.0426923893392086,0.0426923893392086
3246463,0.1438000351190567,0.1438000351190567,0.03695167228579521,0.03695167228579521
3256818,0.14175893366336823,0.14175893366336823,0.031114503741264343,0.031114503741264343
3335775,0.1486310511827469,0.1486310511827469,0.03975287824869156,0.03975287824869156
3419518,0.14260521531105042,0.14260521531105042,0.034215301275253296,0.034215301275253296
3524034,0.13969655334949493,0.13969655334949493,0.03643249720335007,0.03643249720335007
3554820,0.14010284841060638,0.14010284841060638,0.04097594693303108,0.04097594693303108
3635962,0.14401943981647491,0.14401943981647491,0.03690336272120476,0.03690336272120476
3666097,0.14069750905036926,0.14069750905036926,0.04367553070187569,0.04367553070187569
3839588,0.14027836918830872,0.14027836918830872,0.043759047985076904,0.043759047985076904
3842519,0.1429925113916397,0.1429925113916397,0.04634108394384384,0.04634108394384384
3890244,0.1424461156129837,0.1424461156129837,0.045590877532958984,0.045590877532958984
3900628,0.1371029019355774,0.1371029019355774,0.04394548013806343,0.04394548013806343
3915894,0.14199623465538025,0.14199623465538025,0.03541981801390648,0.03541981801390648
4070472,0.14120085537433624,0.14120085537433624,0.039959732443094254,0.039959732443094254
4101631,0.13439659774303436,0.13439659774303436,0.03919968381524086,0.03919968381524086
4109580,0.14386631548404694,0.14386631548404694,0.041616618633270264,0.041616618633270264
4129820,0.13693946599960327,0.13693946599960327,0.03617047891020775,0.03617047891020775
4172743,0.13781926035881042,0.13781926035881042,0.04036397859454155,0.04036397859454155
4260878,0.1413339227437973,0.1413339227437973,0.051134638488292694,0.051134638488292694
4270588,0.13956163823604584,0.13956163823604584,0.04026450589299202,0.04026450589299202
4366147,0.137699693441391,0.137699693441391,0.03557423874735832,0.03557423874735832
4411196,0.1424412876367569,0.1424412876367569,0.03529300540685654,0.03529300540685654
4477180,0.1520320624113083,0.1520320624113083,0.03742213547229767,0.03742213547229767
4554477,0.1415729969739914,0.1415729969739914,0.03490506857633591,0.03490506857633591
4571782,0.13876014947891235,0.13876014947891235,0.039207182824611664,0.039207182824611664
4641846,0.140539288520813,0.140539288520813,0.038878995925188065,0.038878995925188065
4662850,0.13735587894916534,0.13735587894916534,0.04142020642757416,0.04142020642757416
4713111,0.13723033666610718,0.13723033666610718,0.038339171558618546,0.038339171558618546
4744727,0.13632439076900482,0.13632439076900482,0.04215081036090851,0.04215081036090851
4745177,0.14215503633022308,0.14215503633022308,0.04984692484140396,0.04984692484140396
4775955,0.13745462894439697,0.13745462894439697,0.043542440980672836,0.043542440980672836
4784964,0.14197684824466705,0.14197684824466705,0.04504145309329033,0.04504145309329033
4814163,0.13452580571174622,0.13452580571174622,0.037795886397361755,0.037795886397361755
4821229,0.13180136680603027,0.13180136680603027,0.03986040875315666,0.03986040875315666
4821674,0.13925400376319885,0.13925400376319885,0.044908154755830765,0.044908154755830765
4840971,0.13976596295833588,0.13976596295833588,0.045462049543857574,0.045462049543857574
4884326,0.14697544276714325,0.14697544276714325,0.04394219070672989,0.04394219070672989
4939050,0.1384742259979248,0.1384742259979248,0.04446921870112419,0.04446921870112419
4959086,0.13208991289138794,0.13208991289138794,0.04501697048544884,0.04501697048544884
4975388,0.1405181884765625,0.1405181884765625,0.04719245433807373,0.04719245433807373
4982575,0.1328548938035965,0.1328548938035965,0.043434951454401016,0.043434951454401016
5020300,0.1332542449235916,0.1332542449235916,0.04339904710650444,0.04339904710650444
5042662,0.12866047024726868,0.12866047024726868,0.04304151609539986,0.04304151609539986
5087509,0.1354084610939026,0.1354084610939026,0.04272689297795296,0.04272689297795296
5248341,0.13408730924129486,0.13408730924129486,0.03799663484096527,0.03799663484096527
5277880,0.13407063484191895,0.13407063484191895,0.038964852690696716,0.038964852690696716
5400707,0.13729344308376312,0.13729344308376312,0.03958621621131897,0.03958621621131897
5557643,0.14122246205806732,0.14122246205806732,0.03782643750309944,0.03782643750309944
5578124,0.13559380173683167,0.13559380173683167,0.0359887070953846,0.0359887070953846
5585712,0.14213521778583527,0.14213521778583527,0.036180753260850906,0.036180753260850906
5611016,0.139013409614563,0.139013409614563,0.03496839106082916,0.03496839106082916
5725826,0.1406507045030594,0.1406507045030594,0.0374445803463459,0.0374445803463459
5900268,0.1401320993900299,0.1401320993900299,0.03406067565083504,0.03406067565083504
6012369,0.13578848540782928,0.13578848540782928,0.03933646157383919,0.03933646157383919
6046948,0.13285672664642334,0.13285672664642334,0.03492184355854988,0.03492184355854988
6062925,0.13835203647613525,0.13835203647613525,0.037770792841911316,0.037770792841911316
6115859,0.1356874704360962,0.1356874704360962,0.035666029900312424,0.035666029900312424
6133992,0.14012333750724792,0.14012333750724792,0.0355873741209507,0.0355873741209507
6192577,0.13751909136772156,0.13751909136772156,0.03516320139169693,0.03516320139169693
6381618,0.1350136548280716,0.1350136548280716,0.03719179704785347,0.03719179704785347
6392626,0.13327841460704803,0.13327841460704803,0.03602005913853645,0.03602005913853645
